# Chunk-averaged data for fix bi and group all
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Coord2 Ncount density/number
11000 400 2746
  194 0.475 0.675 22 0.152778
  195 0.475 0.725 20 0.138889
  196 0.475 0.775 11 0.0763889
  197 0.475 0.825 0 0
  198 0.475 0.875 0 0
  199 0.475 0.925 0 0
  200 0.475 0.975 0 0
  201 0.525 0.025 0 0
  202 0.525 0.075 0 0
  203 0.525 0.125 0 0
  204 0.525 0.175 0 0
  205 0.525 0.225 11 0.0763889
  206 0.525 0.275 24 0.166667
  207 0.525 0.325 22 0.152778
  208 0.525 0.375 24 0.166667
  209 0.525 0.425 23 0.159722
  210 0.525 0.475 23 0.159722
  211 0.525 0.525 20 0.138889
  212 0.525 0.575 23 0.159722
  213 0.525 0.625 20 0.138889
  214 0.525 0.675 21 0.145833
  215 0.525 0.725 20 0.138889
  216 0.525 0.775 26 0.180556
  217 0.525 0.825 16 0.111111
  218 0.525 0.875 0 0
  219 0.525 0.925 0 0
  220 0.525 0.975 0 0
  221 0.575 0.025 0 0
  222 0.575 0.075 0 0
  223 0.575 0.125 0 0
  224 0.575 0.175 0 0
  225 0.575 0.225 0 0
  226 0.575 0.275 8 0.0555556
  227 0.575 0.325 15 0.104167
  228 0.575 0.375 15 0.104167
  229 0.575 0.425 22 0.152778
  230 0.575 0.475 21 0.145833
  231 0.575 0.525 23 0.159722
  232 0.575 0.575 22 0.152778
  233 0.575 0.625 24 0.166667
  234 0.575 0.675 25 0.173611
  235 0.575 0.725 27 0.1875
  236 0.575 0.775 23 0.159722
  237 0.575 0.825 23 0.159722
  238 0.575 0.875 5 0.0347222
  239 0.575 0.925 0 0
  240 0.575 0.975 0 0
  241 0.625 0.025 0 0
  242 0.625 0.075 0 0
  243 0.625 0.125 0 0
  244 0.625 0.175 0 0
  245 0.625 0.225 0 0
  246 0.625 0.275 0 0
  247 0.625 0.325 0 0
  248 0.625 0.375 0 0
  249 0.625 0.425 15 0.104167
  250 0.625 0.475 23 0.159722
  251 0.625 0.525 22 0.152778
  252 0.625 0.575 23 0.159722
  253 0.625 0.625 23 0.159722
  254 0.625 0.675 24 0.166667
  255 0.625 0.725 22 0.152778
  256 0.625 0.775 23 0.159722
  257 0.625 0.825 20 0.138889
  258 0.625 0.875 11 0.0763889
  259 0.625 0.925 0 0
  260 0.625 0.975 0 0
  261 0.675 0.025 0 0
  262 0.675 0.075 0 0
  263 0.675 0.125 0 0
  264 0.675 0.175 0 0
  265 0.675 0.225 0 0
  266 0.675 0.275 0 0
  267 0.675 0.325 0 0
  268 0.675 0.375 0 0
  269 0.675 0.425 16 0.111111
  270 0.675 0.475 22 0.152778
  271 0.675 0.525 21 0.145833
  272 0.675 0.575 23 0.159722
  273 0.675 0.625 23 0.159722
  274 0.675 0.675 22 0.152778
  275 0.675 0.725 23 0.159722
  276 0.675 0.775 20 0.138889
  277 0.675 0.825 22 0.152778
  278 0.675 0.875 10 0.0694444
  279 0.675 0.925 0 0
  280 0.675 0.975 0 0
  281 0.725 0.025 0 0
  282 0.725 0.075 0 0
  283 0.725 0.125 0 0
  284 0.725 0.175 0 0
  285 0.725 0.225 0 0
  286 0.725 0.275 0 0
  287 0.725 0.325 0 0
  288 0.725 0.375 0 0
  289 0.725 0.425 9 0.0625
  290 0.725 0.475 22 0.152778
  291 0.725 0.525 23 0.159722
  292 0.725 0.575 23 0.159722
